title,genres
"301, 302","[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
DragonHeart,"[{'id': 14, 'name': 'Fantasy'}]"
Und keiner weint mir nach,"[{'id': 18, 'name': 'Drama'}]"
My Mother's Courage,"[{'id': 18, 'name': 'Drama'}]"
Eddie,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]"
Yankee Zulu,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]"
Billy's Holiday,[]
Purple Noon,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
August,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
James and the Giant Peach,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]"
Fear,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]"
Kids in the Hall: Brain Candy,"[{'id': 35, 'name': 'Comedy'}]"
Faithful,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
Underground,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]"
All Things Fair,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
Bloodsport II,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]"
Pather Panchali,"[{'id': 18, 'name': 'Drama'}]"
The World of Apu,"[{'id': 18, 'name': 'Drama'}]"
Mystery Science Theater 3000: The Movie,"[{'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]"
Tarantella,[]
Space Jam,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]"
Barbarella,"[{'id': 878, 'name': 'Science Fiction'}]"
Hostile Intentions,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]"
They Bite,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]"
Some Folks Call It a Sling Blade,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
The Run of the Country,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
Alphaville,"[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}]"
Coup de Torchon,"[{'id': 18, 'name': 'Drama'}]"
Tigrero: A Film That Was Never Made,"[{'id': 99, 'name': 'Documentary'}, {'id': 10769, 'name': 'Foreign'}]"
The Eye of Vichy,[]
Windows,"[{'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
It's My Party,"[{'id': 18, 'name': 'Drama'}]"
Country Life,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
Operation Dumbo Drop,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
The Promise,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
Mrs. Winterbourne,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]"
Solo,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]"
Under The Domim Tree,"[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]"
The Substitute,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]"
True Crime,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
Butterfly Kiss,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]"
Feeling Minnesota,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
Delta of Venus,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
To Cross the Rubicon,[]
Angus,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]"
Priest Daens,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
Faces,"[{'id': 18, 'name': 'Drama'}]"
Boys,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]"
The Quest,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]"
Cosi,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
Sunset Park,"[{'id': 18, 'name': 'Drama'}]"
Mulholland Falls,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
The Truth About Cats & Dogs,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
Oliver & Company,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
Celtic Pride,"[{'id': 35, 'name': 'Comedy'}]"
Flipper,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]"
Captives,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]"
Of Love and Shadows,"[{'id': 18, 'name': 'Drama'}]"
Dead Man,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 37, 'name': 'Western'}]"
The Horseman on the Roof,"[{'id': 10752, 'name': 'War'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
Switchblade Sisters,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
Mouth to Mouth,"[{'id': 35, 'name': 'Comedy'}, {'id': 10769, 'name': 'Foreign'}]"
The Visitors,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]"
Multiplicity,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]"
"The Haunted World of Edward D. Wood, Jr.","[{'id': 99, 'name': 'Documentary'}]"
Two Friends,"[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]"
The Craft,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]"
The Great White Hype,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
Last Dance,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
War Stories Our Mother Never Told Us,[]
Cold Comfort Farm,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
"Institute Benjamenta, or This Dream People Call Human Life","[{'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}]"
Heaven's Prisoners,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
Original Gangstas,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]"
The Rock,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]"
Getting Away with Murder,"[{'id': 35, 'name': 'Comedy'}]"
Cemetery Man,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]"
Twister,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]"
Barb Wire,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]"
Le Garçu,"[{'id': 18, 'name': 'Drama'}]"
Honeymoon,"[{'id': 35, 'name': 'Comedy'}]"
Ghost in the Shell,"[{'id': 28, 'name': 'Action'}, {'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}]"
Thinner,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]"
Spy Hard,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]"
Brothers in Trouble,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
A Close Shave,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}]"
Force of Evil,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]"
The Stupids,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
The Arrival,"[{'id': 28, 'name': 'Action'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]"
The Man from Down Under,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10752, 'name': 'War'}]"
Careful,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]"
Vermont Is for Lovers,[]
A Month by the Lake,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
Gold Diggers: The Secret of Bear Mountain,"[{'id': 18, 'name': 'Drama'}]"
Kim,"[{'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]"
Carmen Miranda: Bananas Is My Business,"[{'id': 99, 'name': 'Documentary'}]"
Ashes of Time,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]"
The Jar,[]
Maya Lin: A Strong Clear Vision,"[{'id': 99, 'name': 'Documentary'}]"
Stalingrad,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]"
The Phantom,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]"
Striptease,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]"
The Last of the High Kings,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]"
Heavy,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
Jack,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]"
I Shot Andy Warhol,"[{'id': 18, 'name': 'Drama'}]"
The Grass Harp,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]"
Someone Else's America,"[{'id': 18, 'name': 'Drama'}]"
Life is Rosy,"[{'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]"
Quartier Mozart,[]
Touki Bouki,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
God's Gift,"[{'id': 18, 'name': 'Drama'}]"
Spirits of the Dead,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 27, 'name': 'Horror'}]"
Babyfever,[]
Pharaoh's  Army,"[{'id': 37, 'name': 'Western'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]"
Trainspotting,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]"
Til There Was You,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
Independence Day,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]"
Stealing Beauty,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
The Fan,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
The Hunchback of Notre Dame,"[{'id': 18, 'name': 'Drama'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]"
The Cable Guy,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
Kingpin,"[{'id': 35, 'name': 'Comedy'}]"
Eraser,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
The Gate of Heavenly Peace,"[{'id': 99, 'name': 'Documentary'}]"
The Nutty Professor,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}]"
"I, the Worst of All","[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]"
An Unforgettable Summer,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]"
A Hungarian Fairy Tale,[]
My Life and Times With Antonin Artaud,[]
Midnight Dancers,[]
Somebody to Love,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
A Very Natural Thing,"[{'id': 18, 'name': 'Drama'}]"
The Old Lady Who Walked in the Sea,"[{'id': 35, 'name': 'Comedy'}]"
Daylight,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]"
The Frighteners,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]"
Lone Star,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]"
Harriet the Spy,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]"
Phenomenon,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}]"
Walking and Talking,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
She's the One,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
A Time to Kill,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
American Buffalo,"[{'id': 18, 'name': 'Drama'}]"
Rendezvous in Paris,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]"
Alaska,"[{'id': 12, 'name': 'Adventure'}]"
Fled,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]"
Kazaam,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}]"
Magic Hunter,[]
Larger Than Life,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]"
A Boy Called Hate,[]
Power 98,"[{'id': 28, 'name': 'Action'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
Two Deaths,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}]"
A Very Brady Sequel,"[{'id': 35, 'name': 'Comedy'}]"
Stefano Quantestorie,"[{'id': 35, 'name': 'Comedy'}]"
Death in the Garden,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]"
Hedd Wyn,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}]"
La Collectionneuse,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
Kaspar Hauser,"[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]"
Regular Guys,"[{'id': 35, 'name': 'Comedy'}, {'id': 10769, 'name': 'Foreign'}]"
Diebinnen,"[{'id': 18, 'name': 'Drama'}]"
The Convent,"[{'id': 53, 'name': 'Thriller'}]"
The Adventures of Pinocchio,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]"
Joe's Apartment,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]"
The First Wives Club,"[{'id': 35, 'name': 'Comedy'}]"
Stonewall,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]"
Ransom,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]"
High School High,"[{'id': 35, 'name': 'Comedy'}]"
Phat Beach,"[{'id': 35, 'name': 'Comedy'}]"
Foxfire,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
Chain Reaction,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]"
Matilda,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]"
Emma,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
The Crow: City of Angels,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 53, 'name': 'Thriller'}]"
House Arrest,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
Eyes Without a Face,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]"
Bordello of Blood,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]"
Lotto Land,"[{'id': 18, 'name': 'Drama'}]"
The Story of Xinghua,[]
The Day the Sun Turned Cold,[]
Flirt,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
The Big Squeeze,"[{'id': 18, 'name': 'Drama'}]"
The Spitfire Grill,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
Escape from L.A.,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]"
Cyclo,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
Basquiat,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
Tin Cup,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
Dingo,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]"
The Ballad of Narayama,"[{'id': 18, 'name': 'Drama'}]"
Every Other Weekend,"[{'id': 18, 'name': 'Drama'}]"
Mille bolle blu,[]
Crows and Sparrows,[]
The Godfather,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]"
Maybe... Maybe Not,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
Police Story 3: Supercop,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]"
Manny & Lo,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]"
Wife,"[{'id': 18, 'name': 'Drama'}]"
Small Faces,[]
Bound,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]"
Carpool,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
Death in Brunswick,"[{'id': 18, 'name': 'Drama'}]"
Kansas City,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 80, 'name': 'Crime'}]"
Gone Fishin',"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
Lover's Knot,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]"
Vive L'Amour,"[{'id': 18, 'name': 'Drama'}]"
Shadow of Angels,"[{'id': 18, 'name': 'Drama'}]"
Killer: A Journal of Murder,"[{'id': 18, 'name': 'Drama'}]"
Nothing to Lose,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
Project S,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}]"
Girls Town,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
Bye-Bye,"[{'id': 18, 'name': 'Drama'}]"
The Relic,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
The Island of Dr. Moreau,"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]"
First Kid,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
The Trigger Effect,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
Sweet Nothing,[]
Bogus,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
Bulletproof,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]"
Talk of Angels,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]"
The Land Before Time III: The Time of the Great Giving,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]"
1-900,[]
Baton Rouge,"[{'id': 53, 'name': 'Thriller'}]"
Halloween: The Curse of Michael Myers,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]"
Twelfth Night,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
Mother Night,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
Liebelei,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
Venice,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
Wild Reeds,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
For Whom the Bell Tolls,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]"
The Philadelphia Story,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
Singin' in the Rain,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]"
An American in Paris,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]"
Funny Face,"[{'id': 10402, 'name': 'Music'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
Breakfast at Tiffany's,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
Vertigo,"[{'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]"
Rear Window,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
It Happened One Night,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
Gaslight,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]"
The Gay Divorcee,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]"
North by Northwest,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
The Apartment,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
Some Like It Hot,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
Charade,"[{'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]"
Casablanca,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
The Maltese Falcon,"[{'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]"
My Fair Lady,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]"
Sabrina,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
Roman Holiday,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
The Little Princess,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
Meet Me in St. Louis,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]"
The Wizard of Oz,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]"
Gone with the Wind,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]"
My Favorite Year,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
Sunset Boulevard,"[{'id': 18, 'name': 'Drama'}]"
Citizen Kane,"[{'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}]"
