title,genres
Babe,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
Carrington,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
Dead Man Walking,"[{'id': 18, 'name': 'Drama'}]"
Across the Sea of Time,"[{'id': 12, 'name': 'Adventure'}, {'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]"
It Takes Two,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]"
Clueless,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
"Cry, the Beloved Country","[{'id': 18, 'name': 'Drama'}]"
Richard III,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]"
Dead Presidents,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
Restoration,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
Mortal Kombat,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]"
To Die For,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]"
How To Make An American Quilt,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
Se7en,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
Pocahontas,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]"
When Night Is Falling,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
The Usual Suspects,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]"
Guardian Angel,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]"
Mighty Aphrodite,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
Lamerica,"[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]"
The Big Green,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
Georgia,"[{'id': 18, 'name': 'Drama'}]"
Kids of the Round Table,[]
Home for the Holidays,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
The Postman,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
The Confessional,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]"
The Indian in the Cupboard,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]"
Eye for an Eye,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
Mr. Holland's Opus,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]"
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"[{'id': 35, 'name': 'Comedy'}]"
Two If by Sea,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
Bio-Dome,"[{'id': 35, 'name': 'Comedy'}]"
Lawnmower Man 2: Beyond Cyberspace,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]"
Two Bits,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]"
French Twist,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
Friday,"[{'id': 35, 'name': 'Comedy'}]"
From Dusk Till Dawn,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]"
Fair Game,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]"
Kicking and Screaming,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
Les Miserables,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
Bed of Roses,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
Big Bully,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
Screamers,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]"
Nico Icon,"[{'id': 99, 'name': 'Documentary'}]"
The Crossing Guard,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
The Juror,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
The White Balloon,"[{'id': 10751, 'name': 'Family'}, {'id': 18, 'name': 'Drama'}]"
Things to Do in Denver When You're Dead,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]"
Antonia's Line,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]"
Once Upon a Time... When We Were Colored,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]"
Last Summer in the Hamptons,[]
Angels and Insects,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
White Squall,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]"
Dunston Checks In,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
Black Sheep,"[{'id': 35, 'name': 'Comedy'}]"
Nick of Time,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
The Journey of August King,"[{'id': 18, 'name': 'Drama'}]"
Mary Reilly,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]"
Vampire in Brooklyn,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]"
Beautiful Girls,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
Broken Arrow,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
A Midwinter's Tale,"[{'id': 35, 'name': 'Comedy'}]"
La Haine,"[{'id': 18, 'name': 'Drama'}]"
Shopping,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]"
Heidi Fleiss: Hollywood Madam,"[{'id': 99, 'name': 'Documentary'}]"
City Hall,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
Bottle Rocket,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
Mr. Wrong,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
Unforgettable,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]"
Happy Gilmore,"[{'id': 35, 'name': 'Comedy'}]"
The Bridges of Madison County,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
Nobody Loves Me,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
Muppet Treasure Island,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]"
Catwalk,"[{'id': 99, 'name': 'Documentary'}]"
Headless Body in Topless Bar,"[{'id': 80, 'name': 'Crime'}]"
Braveheart,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]"
Taxi Driver,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
